MXP AUSTRALIA,6284,6270 - Professional Fees:6284 - Secretarial,6284 - Secretarial,6790 - Other Acctg & Legal
MXP AUSTRALIA,6288,6288 - Recruitment Fees,6288 - Recruitment Fees,6160 - Recruitment Costs
MXP AUSTRALIA,6290,6290 - Rent,6290 - Rent,6210 - Rent
MXP AUSTRALIA,6295,6295 - Office Expenses,6295 - Office Expenses,6320 - Office Supplies
MXP AUSTRALIA,6300,6300 - Repairs,6300 - Repairs,6240 - Building Repairs & Maintenance
MXP AUSTRALIA,6310,6300 - Repairs:6310 - Building Repairs,6310 - Building Repairs,6240 - Building Repairs & Maintenance
MXP AUSTRALIA,6320,6300 - Repairs:6320 - Computer Repairs,6320 - Computer Repairs,6360 - Equipment Repairs
MXP AUSTRALIA,6330,6300 - Repairs:6330 - Equipment Repairs,6330 - Equipment Repairs,6360 - Equipment Repairs
MXP AUSTRALIA,6334,6334 - Subscriptions,6334 - Subscriptions,6920 - Dues and Subscriptions
MXP AUSTRALIA,6335,6335 - Software Expense,6335 - Software Expense,6330 - Software Expense
MXP AUSTRALIA,6336,6336 - EDP Consumables,6336 - EDP Consumables,6340 - Computer Consumables
MXP AUSTRALIA,6340,6340 - Telephone & Internet,6340 - Telephone & Internet,6510 - Telephone
MXP AUSTRALIA,6341,6340 - Telephone & Internet:6341 - Mobile,6341 - Mobile,6510 - Telephone
MXP AUSTRALIA,6343,6340 - Telephone & Internet:6343 - Skype,6343 - Skype,6510 - Telephone
MXP AUSTRALIA,6345,6340 - Telephone & Internet:6345 - Fax,6345 - Fax,6510 - Telephone
MXP AUSTRALIA,6346,6340 - Telephone & Internet:6346 - ADSL Telephone Line,6346 - ADSL Telephone Line,6510 - Telephone
MXP AUSTRALIA,6347,6340 - Telephone & Internet:6347 - ISP Fees,6347 - ISP Fees,6520 - Internet
MXP AUSTRALIA,6348,6340 - Telephone & Internet:6348 - Internet Expenses,6348 - Internet Expenses,6520 - Internet
MXP AUSTRALIA,6350,6350 - Travel & Ent,6350 - Travel & Ent,6690 - Other
MXP AUSTRALIA,6360,6350 - Travel & Ent:6360 - Entertainment,6360 - Entertainment,6410 - Client Entertainment
MXP AUSTRALIA,6370,6350 - Travel & Ent:6370 - Meals,6370 - Meals,6640 - Meals and Per Diem
MXP AUSTRALIA,6380,6350 - Travel & Ent:6380 - Travel,6380 - Travel,6630 - Transportation
MXP AUSTRALIA,6385,6350 - Travel & Ent:6385 - Local Transportation,6385 - Local Transportation,6630 - Transportation
MXP AUSTRALIA,6390,6390 - Utilities,6390 - Utilities,6220 - Utilities
MXP AUSTRALIA,6400,6390 - Utilities:6400 - Gas and Electric,6400 - Gas and Electric,6220 - Utilities
MXP AUSTRALIA,6410,6390 - Utilities:6410 - Water,6410 - Water,6220 - Utilities
MXP AUSTRALIA,6480,6480 - External Services,6480 - External Services,6180 - Contracted Services
MXP AUSTRALIA,6490,6490 - Web Hosting Services,6490 - Web Hosting Services,6450 - Design and Web costs
MXP AUSTRALIA,6500,6500 - Marketing Expenses,6500 - Marketing Expenses,6490 - Other Marketing Costs
MXP AUSTRALIA,6510,6500 - Marketing Expenses:6510 - Webex Presentation,6510 - Webex Presentation,6490 - Other Marketing Costs
MXP AUSTRALIA,6560,6560 - Payroll Expenses,6560 - Payroll Expenses,6190 - Payroll Expenses
MXP AUSTRALIA,6565,6560 - Payroll Expenses:6565 - Employee Super,6565 - Employee Super,6130 - Superannuation
MXP AUSTRALIA,6910,6910 - Formation Expenses Written Off,6910 - Formation Expenses Written Off,6990 - Miscellaneous Expenses
MXP AUSTRALIA,7010,7010 - Interest Income,7010 - Interest Income,7110 - Interest Income
MXP AUSTRALIA,7030,7030 - Other Income,7030 - Other Income,7120 - Other Income
MXP AUSTRALIA,8010,8010 - Other Expenses,8010 - Other Expenses,8230 - Other Expense
MXP HONG KONG,1001,1001 - 429 SCB,1001 - 429 SCB,1001 - Local Bank Account 1
MXP HONG KONG,1002,1002 - SCB HK$,1002 - SCB HK$,1002 - Local Bank Account 2
MXP HONG KONG,1005,1005 - SCB US$,1005 - SCB US$,1010 - USD Bank Account 1
MXP HONG KONG,1008,1008 - Cash Suspense,1008 - Cash Suspense,1099 - Cash Suspense
MXP HONG KONG,1021,1021 - Petty Cash,1021 - Petty Cash,1090 - Petty Cash Account
MXP HONG KONG,1200,1200 - Accounts Receivable,1200 - Accounts Receivable,1210 - Trade Debtors
MXP HONG KONG,1201,1201 - Other Debtors,1201 - Other Debtors,1220 - Other Debtors
MXP HONG KONG,1220,1220 - MR Accounts Receivable,1220 - MR Accounts Receivable,1210 - Trade Debtors
MXP HONG KONG,1222,1222 - THB Accounts Receivable,1222 - THB Accounts Receivable,1210 - Trade Debtors
MXP HONG KONG,1224,1224 - NZD Accounts Receivable,1224 - NZD Accounts Receivable,1210 - Trade Debtors
MXP HONG KONG,1230,1230 - Temporary Suspense,1230 - Temporary Suspense,1099 - Cash Suspense
MXP HONG KONG,1300,1300 - Prepayments,1300 - Prepayments,1310 - Prepayments
MXP HONG KONG,1420,1420 - Advance Legal Fees,1420 - Advance Legal Fees,1320 - Advance Payments
MXP HONG KONG,1450,1450 - Deposits & Advances,1450 - Deposits & Advances,1320 - Advance Payments
MXP HONG KONG,1451,1450 - Deposits & Advances:1451 - Lease Deposit,1451 - Lease Deposit,1340 - Deposits
MXP HONG KONG,1452,1450 - Deposits & Advances:1452 - Other Deposits,1452 - Other Deposits,1340 - Deposits
MXP HONG KONG,1453,1450 - Deposits & Advances:1453 - Utilities Deposits,1453 - Utilities Deposits,1340 - Deposits
MXP HONG KONG,1460,1460 - Accrued Revenue,1460 - Accrued Revenue,1350 - Accrued Revenue
MXP HONG KONG,1470,1470 - Directors Loans,1470 - Directors Loans,1490 - Directors Loans - Non Specific
MXP HONG KONG,1471,1470 - Directors Loans:1471 - G C Parsons,1471 - G C Parsons,1410 - G C Parsons
MXP HONG KONG,1472,1470 - Directors Loans:1472 - George Wilk,1472 - George Wilk,1420 - G Wilk
MXP HONG KONG,1473,1470 - Directors Loans:1473 - Thomas Lo,1473 - Thomas Lo,1430 - T Lo
MXP HONG KONG,1480,1480 - Loan - MaxiPlan Singapore,1480 - Loan - MaxiPlan Singapore,1530 - Maxiplan Singapore
MXP HONG KONG,1485,1485 - Loans - MaxiPlan Australia,1485 - Loans - MaxiPlan Australia,1510 - Maxiplan Australia
MXP HONG KONG,1490,1490 - Loans MaxiPlan Software UK,1490 - Loans MaxiPlan Software UK,1540 - Maxiplan UK
MXP HONG KONG,1499,1499 - Undeposited Funds,1499 - Undeposited Funds,1590 - Undeposited Funds
MXP HONG KONG,1510,1510 - Employee Advances,1510 - Employee Advances,1330 - Employee Advances
MXP HONG KONG,1890,1890 - Office Equipment,1890 - Office Equipment,1620 - Office Equip - At Cost
MXP HONG KONG,1891,1890 - Office Equipment:1891 - Cost,1891 - Cost,1620 - Office Equip - At Cost
MXP HONG KONG,1892,1890 - Office Equipment:1892 - Accumulated Depreciation,1892 - Accumulated Depreciation,1630 - Office Equip - Accum Depn
