,"Date","Account","Debit","Credit","Amount"
"Jan - Jun 11",,,,,
,"30/05/2011","2710 · Prepaid Maintenance","",2325.40,-2325.40
,"30/05/2011","2710 · Prepaid Maintenance","",1129.48,-1129.48
,"30/05/2011","2710 · Prepaid Maintenance","",5049.44,-5049.44
,"30/05/2011","2710 · Prepaid Maintenance","",3587.76,-3587.76
,"30/05/2011","2710 · Prepaid Maintenance","",2059.64,-2059.64
,"25/01/2011","2860 · Accrued Expense",2097.69,"",2097.69
,"25/01/2011","2860 · Accrued Expense",4189.35,"",4189.35
,"14/03/2011","2860 · Accrued Expense",4358.67,"",4358.67
,"31/03/2011","4020 · Software M&S Income","",5230.24,-5230.24
,"31/03/2011","4020 · Software M&S Income","",5230.25,-5230.25
,"31/03/2011","4020 · Software M&S Income","",5230.25,-5230.25
,"15/02/2011","4030 · Consulting Income","",7328.29,-7328.29
,"14/02/2011","4030 · Consulting Income",7328.29,"",7328.29
,"15/03/2011","4030 · Consulting Income","",5903.86,-5903.86
,"15/03/2011","4030 · Consulting Income","",425.29,-425.29
,"15/03/2011","4030 · Consulting Income","",905.36,-905.36
,"15/03/2011","4030 · Consulting Income","",944.36,-944.36
,"15/03/2011","4030 · Consulting Income","",232.14,-232.14
,"6/04/2011","4030 · Consulting Income","",14389.28,-14389.28
,"16/05/2011","4030 · Consulting Income","",8631.15,-8631.15
,"16/05/2011","4030 · Consulting Income","",263.50,-263.50
,"24/06/2011","4030 · Consulting Income","",4593.65,-4593.65
,"25/01/2011","6011 · Salary",4817.95,"",4817.95
,"25/01/2011","6011 · Salary",2447.44,"",2447.44
,"28/02/2011","6011 · Salary",4817.95,"",4817.95
,"31/03/2011","6011 · Salary",4817.95,"",4817.95
,"28/02/2011","6011 · Salary",2447.42,"",2447.42
,"31/03/2011","6011 · Salary",2447.42,"",2447.42
,"29/04/2011","6011 · Salary",4817.95,"",4817.95
,"29/04/2011","6011 · Salary",2447.43,"",2447.43
,"25/01/2011","6013 · Bonus",4189.35,"",4189.35
