Entity,Accnt. #,Account,FullAccount,Type
MXP SINGAPORE,6330,6330 - Mobile,6320 - Telephone:6330 - Mobile,Expense
MXP SINGAPORE,6331,6331 - ISD Calls,6320 - Telephone:6330 - Mobile:6331 - ISD Calls,Expense
MXP SINGAPORE,6332,6332 - Local Calls,6320 - Telephone:6330 - Mobile:6332 - Local Calls,Expense
MXP SINGAPORE,6335,6335 - Service Charge,6320 - Telephone:6330 - Mobile:6335 - Service Charge,Expense
MXP SINGAPORE,6350,6350 - Travel and Acc.,6350 - Travel and Acc.,Expense
MXP SINGAPORE,6351,6351 - Accommodation,6350 - Travel and Acc.:6351 - Accommodation,Expense
MXP SINGAPORE,6352,6352 - Meals,6350 - Travel and Acc.:6352 - Meals,Expense
MXP SINGAPORE,6353,6353 - Travel Expense,6350 - Travel and Acc.:6353 - Travel Expense,Expense
MXP SINGAPORE,6354,6354 - Travel Insurance,6350 - Travel and Acc.:6354 - Travel Insurance,Expense
MXP SINGAPORE,6355,6355 - Local Transportation,6350 - Travel and Acc.:6355 - Local Transportation,Expense
MXP SINGAPORE,6356,6356 - Per Diem Allowances,6350 - Travel and Acc.:6356 - Per Diem Allowances,Expense
MXP SINGAPORE,6357,6357 - Airfares,6350 - Travel and Acc.:6357 - Airfares,Expense
MXP SINGAPORE,6360,6360 - Stamp Duties,6360 - Stamp Duties,Expense
MXP SINGAPORE,6390,6390 - Utilities,6390 - Utilities,Expense
MXP SINGAPORE,6392,6392 - Gas and Electric,6390 - Utilities:6392 - Gas and Electric,Expense
MXP SINGAPORE,6396,6396 - Water,6390 - Utilities:6396 - Water,Expense
MXP SINGAPORE,6398,6398 - Account Service Fees,6390 - Utilities:6398 - Account Service Fees,Expense
MXP SINGAPORE,6550,6550 - Office Supplies,6550 - Office Supplies,Expense
MXP SINGAPORE,6551,6551 - Copier Service,6550 - Office Supplies:6551 - Copier Service,Expense
MXP SINGAPORE,6552,6552 - Miscellaneous,6550 - Office Supplies:6552 - Miscellaneous,Expense
MXP SINGAPORE,6553,6553 - Stationery,6550 - Office Supplies:6553 - Stationery,Expense
MXP SINGAPORE,6555,6555 - Outside Services,6555 - Outside Services,Expense
MXP SINGAPORE,6560,6560 - Payroll Expenses,6560 - Payroll Expenses,Expense
MXP SINGAPORE,6570,6570 - Skill Development Funds,6570 - Skill Development Funds,Expense
MXP SINGAPORE,6580,6580 - Bad Debts,6580 - Bad Debts,Expense
MXP SINGAPORE,66900,66900 - Reconciliation Discrepancies,66900 - Reconciliation Discrepancies,Expense
MXP SINGAPORE,6998,6998 - Expenses Suspense,6998 - Expenses Suspense,Expense
MXP SINGAPORE,6999,6999 - Uncategorised Expenses,6999 - Uncategorised Expenses,Expense
MXP SINGAPORE,7010,7010 - Interest Income,7010 - Interest Income,Other Income
MXP SINGAPORE,7030,7030 - Other Income,7030 - Other Income,Other Income
MXP SINGAPORE,7040,7040 - MOF Resilience Package,7040 - MOF Resilience Package,Other Income
MXP SINGAPORE,6800,6800 - Taxes,6800 - Taxes,Other Expense
MXP SINGAPORE,6830,6830 - Corporate,6800 - Taxes:6830 - Corporate,Other Expense
MXP SINGAPORE,6850,6850 - Property,6800 - Taxes:6850 - Property,Other Expense
MXP SINGAPORE,6860,6860 - Late Lodgement Penalty,6800 - Taxes:6860 - Late Lodgement Penalty,Other Expense
MXP SINGAPORE,6870,6870 - Late Payment Fee,6870 - Late Payment Fee,Other Expense
MXP SINGAPORE,8010,8010 - Other Expenses,8010 - Other Expenses,Other Expense
MXP SINGAPORE,8020,8020 - Curr. Exch Loss/(Gain),8020 - Curr. Exch Loss/(Gain),Other Expense
MXP SINGAPORE,8030,8030 - Unclaimed GST,8030 - Unclaimed GST,Other Expense
MXP SINGAPORE,8040,8040 - Witholding Tax Penalties,8040 - Witholding Tax Penalties,Other Expense
MXP SINGAPORE,4,4 - Estimates,4 - Estimates,Non-Posting
MXP SINGAPORE,9901,9901 - Bank (Online),9901 - Bank (Online),Suspense
